phrase,lang,category,severity
this is the cbi speaking,en,authority_impersonation,high
i am calling from the central bureau of investigation,en,authority_impersonation,high
cbi officer speaking,en,authority_impersonation,high
enforcement directorate officer here,en,authority_impersonation,high
this is the ed mumbai zonal office,en,authority_impersonation,high
i am an inspector from the cyber crime branch,en,authority_impersonation,high
speaking from delhi police headquarters,en,authority_impersonation,high
this is trai the telecom regulatory authority,en,authority_impersonation,high
your number is being monitored by trai,en,authority_impersonation,high
calling from the customs department at mumbai airport,en,authority_impersonation,high
narcotics control bureau investigation officer,en,authority_impersonation,high
this is the reserve bank of india fraud cell,en,authority_impersonation,high
rbi compliance department calling,en,authority_impersonation,high
i am from the income tax department,en,authority_impersonation,high
sebi surveillance division speaking,en,authority_impersonation,high
this is the ministry of home affairs cyber cell,en,authority_impersonation,high
calling on behalf of the supreme court registry,en,authority_impersonation,high
interpol has flagged your name,en,authority_impersonation,high
i am the investigating officer in your case,en,authority_impersonation,high
this call is being recorded by the police department,en,authority_impersonation,high
sbi fraud prevention department speaking,en,authority_impersonation,high
hdfc bank security team calling,en,authority_impersonation,high
icici bank compliance officer here,en,authority_impersonation,high
amazon fraud investigation team,en,authority_impersonation,high
this is the fedex courier legal team,en,authority_impersonation,high
your case has been transferred to the crime branch,en,authority_impersonation,high
my badge number is verified you can check it online,en,authority_impersonation,high
this is an official government call do not disconnect,en,authority_impersonation,high
you are under digital arrest,en,arrest_threat,high
you will be arrested within two hours,en,arrest_threat,high
an arrest warrant has been issued against you,en,arrest_threat,high
a non bailable warrant is out in your name,en,arrest_threat,high
police are on the way to your house,en,arrest_threat,high
an fir has been registered against you,en,arrest_threat,high
your name has come up in a money laundering case,en,arrest_threat,high
you are named in a drug trafficking investigation,en,arrest_threat,high
this is a serious criminal offence,en,arrest_threat,high
you will face seven years of imprisonment,en,arrest_threat,high
court summons have been issued,en,arrest_threat,high
legal action will be taken against you today,en,arrest_threat,high
we will send a police team to your address,en,arrest_threat,high
cooperate or face arrest,en,arrest_threat,high
pay now or be arrested,en,arrest_threat,high
your arrest will be executed by the local station,en,arrest_threat,high
a lookout notice has been issued against you,en,arrest_threat,high
you are the prime accused in this case,en,arrest_threat,high
we have evidence linking you to the crime,en,arrest_threat,high
the magistrate has ordered your custody,en,arrest_threat,high
you cannot leave the city until this is settled,en,arrest_threat,high
terrorist funding has been traced to your account,en,arrest_threat,high
a case under pmla has been filed,en,arrest_threat,high
the cyber crime cell has opened a case against you,en,arrest_threat,high
you will be taken into custody tonight,en,arrest_threat,high
remain at home until the police team arrives,en,arrest_threat,high
hawala transactions have been traced to your name,en,arrest_threat,high
your account will be frozen,en,account_freeze,high
your bank account has been suspended,en,account_freeze,high
all your accounts are being blocked,en,account_freeze,high
your aadhaar is linked to illegal activity,en,account_freeze,high
your aadhaar has been misused for illegal transactions,en,account_freeze,high
your pan card has been blocked,en,account_freeze,high
your sim card will be deactivated in two hours,en,account_freeze,high
your mobile number will be disconnected by trai,en,account_freeze,high
your upi id is being suspended,en,account_freeze,high
all transactions from your account are on hold,en,account_freeze,high
the bank has flagged your account for fraud,en,account_freeze,high
your credit card has been blocked by the bank,en,account_freeze,high
your account is under investigation for suspicious activity,en,account_freeze,high
a freeze order has been placed on your funds,en,account_freeze,high
your digital wallet will be locked permanently,en,account_freeze,high
your net banking access will be revoked,en,account_freeze,high
your account was used to launder money,en,account_freeze,high
illegal transactions were detected from your account,en,account_freeze,high
your account is linked to a shell company,en,account_freeze,high
your bank locker will be sealed,en,account_freeze,high
your salary account will be attached,en,account_freeze,high
rbi has ordered a freeze on your deposits,en,account_freeze,high
your kyc is invalid and the account will be closed,en,account_freeze,high
your account will be permanently deactivated today,en,account_freeze,high
we are blocking all outgoing payments from your account,en,account_freeze,high
your fixed deposit has been placed under lien,en,account_freeze,high
time is running out,en,urgency,medium
urgent action is required right now,en,urgency,medium
you must act within thirty minutes,en,urgency,medium
you have only one hour to respond,en,urgency,medium
this must be done before midnight,en,urgency,medium
this is your final warning,en,urgency,medium
this is the last notice you will receive,en,urgency,medium
do not delay any further,en,urgency,low
act immediately or lose everything,en,urgency,low
the window closes in fifteen minutes,en,urgency,medium
i cannot hold this case any longer,en,urgency,medium
the deadline expires today at five pm,en,urgency,medium
every minute of delay increases the penalty,en,urgency,medium
the system will auto lock your account shortly,en,urgency,medium
we need your response in the next ten minutes,en,urgency,medium
there is no time to think about it,en,urgency,low
you have to decide right now,en,urgency,low
i am giving you one last chance,en,urgency,medium
the senior officer is waiting on the other line,en,urgency,medium
hurry up the court closes soon,en,urgency,low
tonight is the last date for settlement,en,urgency,medium
your file will be sent to court in an hour,en,urgency,medium
this settlement offer is valid only for today,en,urgency,medium
complete this before the bank closes,en,urgency,low
do it now while i am on the call,en,urgency,low
i can only hold the warrant for a few minutes,en,urgency,high
do not tell anyone about this call,en,secrecy,medium
keep this call completely secret,en,secrecy,medium
do not inform your family members,en,secrecy,medium
do not discuss this with your wife or children,en,secrecy,medium
do not hang up the phone,en,secrecy,medium
stay on the line until i say so,en,secrecy,medium
this investigation is confidential,en,secrecy,medium
sharing this information is a punishable offence,en,secrecy,medium
do not visit the bank branch,en,secrecy,medium
do not talk to the bank staff about this,en,secrecy,medium
do not contact any lawyer,en,secrecy,medium
keep the video call switched on at all times,en,secrecy,medium
go to a room alone and lock the door,en,secrecy,medium
do not call anyone else during this process,en,secrecy,medium
do not put me on hold,en,secrecy,low
if you tell anyone the case will get worse,en,secrecy,medium
this is a classified government matter,en,secrecy,medium
you are bound by the official secrets act,en,secrecy,medium
do not take screenshots of this conversation,en,secrecy,medium
delete this call record afterwards,en,secrecy,medium
do not tell the cashier why you are withdrawing,en,secrecy,medium
tell the bank it is for a family function,en,secrecy,medium
switch off your other phone,en,secrecy,low
nobody should know that you are speaking to us,en,secrecy,medium
do not seek help from anyone,en,secrecy,medium
this conversation is under judicial confidentiality,en,secrecy,medium
transfer the money immediately,en,payment_demand,high
you must pay now to clear your name,en,payment_demand,high
send the amount to this safe account,en,payment_demand,high
deposit the funds in the government escrow account,en,payment_demand,high
transfer via upi to the account i give you,en,payment_demand,high
scan this qr code to make the payment,en,payment_demand,high
pay the penalty of two lakh rupees,en,payment_demand,high
the case will be closed after payment,en,payment_demand,high
send the money for verification and it will be refunded,en,payment_demand,high
transfer your entire balance for safe keeping,en,payment_demand,high
withdraw the cash and deposit it in this account,en,payment_demand,high
buy gift cards and share the codes with me,en,payment_demand,high
pay the security deposit to release your funds,en,payment_demand,high
make the transfer before i disconnect,en,payment_demand,high
use imps for a faster transfer,en,payment_demand,medium
send the money in three separate transactions,en,payment_demand,high
transfer the amount to the rbi verification account,en,payment_demand,high
clearance charges must be paid in advance,en,payment_demand,high
pay the customs duty to release the parcel,en,payment_demand,high
we need a refundable deposit to close the case,en,payment_demand,high
transfer the money to this beneficiary now,en,payment_demand,high
send the payment screenshot after transferring,en,payment_demand,medium
break your fixed deposit and transfer the money,en,payment_demand,high
